setlist_id,venue_id,era_name,song_name,song_info,song_order,Unnamed: 0,album,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
13a6b159,4bd637ce,reputation,delicate,,17,255.0,reputation,5.0,6NFyWDv5CjfwuzoCkw47Xf,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,0.0499,87.0
13a6b159,4bd637ce,reputation,dont blame me,Shortened,18,254.0,reputation,4.0,1R0a2iXumgCiFb7HEZ7gUE,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,135.917,0.193,91.0
13a6b159,4bd637ce,reputation,look what you made me do,,19,256.0,reputation,6.0,1P17dC1amhFzptugyAO7Il,spotify:track:1P17dC1amhFzptugyAO7Il,0.204,0.766,0.709,1.41e-05,0.126,-6.471,0.123,128.07,0.506,86.0
13a6b159,4bd637ce,Speak Now,enchanted,Extended intro; shortened,20,8.0,Speak Now (Taylor's Version),9.0,3sW3oSbzsfecv9XoUdGs7h,spotify:track:3sW3oSbzsfecv9XoUdGs7h,0.012,0.505,0.532,0.0,0.149,-3.526,0.0265,81.907,0.216,87.0
13a6b159,4bd637ce,Red,red  intro,"Contains elements of ""State of Grace"", ""Holy Ground"" and ""Red"" taped",21,,,,,,,,,,,,,,,
13a6b159,4bd637ce,Red,22,,22,83.0,Red (Taylor's Version),6.0,3yII7UwgLF6K5zW3xad3MP,spotify:track:3yII7UwgLF6K5zW3xad3MP,0.000443,0.642,0.695,1.02e-05,0.0753,-5.62,0.0281,103.984,0.642,79.0
13a6b159,4bd637ce,Red,we are never ever getting back together,,23,85.0,Red (Taylor's Version),8.0,5YqltLsjdqFtvqE7Nrysvs,spotify:track:5YqltLsjdqFtvqE7Nrysvs,0.0317,0.567,0.686,1.86e-06,0.0732,-6.139,0.175,172.014,0.716,81.0
13a6b159,4bd637ce,Red,i knew you were trouble,Shortened,24,81.0,Red (Taylor's Version),4.0,6AtZLIzUINvExIUy4QhdjP,spotify:track:6AtZLIzUINvExIUy4QhdjP,0.0129,0.584,0.557,0.0,0.0576,-6.371,0.0342,154.008,0.767,80.0
13a6b159,4bd637ce,Red,all too well,10 Minute Version,25,82.0,Red (Taylor's Version),5.0,3nsfB1vus2qaloUdcBZvDu,spotify:track:3nsfB1vus2qaloUdcBZvDu,0.0171,0.44,0.528,0.00203,0.234,-7.809,0.0317,185.972,0.132,78.0
13a6b159,4bd637ce,Red,all too well,10 Minute Version,25,107.0,Red (Taylor's Version),30.0,5enxwA8aAbwZbf5qCHORXi,spotify:track:5enxwA8aAbwZbf5qCHORXi,0.274,0.631,0.518,0.0,0.088,-8.771,0.0303,93.023,0.205,87.0
